DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
25240,Beecher Community School District,69.75,12.06,,2,1,,2.9,1.94,10.35,14.54,5.49,49.33,6,2,,3.82,4,,,,3,,,1
25250,Linden Community Schools,116.8,14.7,3,3,,,3.01,1.19,6,13,26.7,36,3.25,16.75,6,,3.5,25,,,3,,,1
25260,Montrose Community Schools,65.8,14.65,1.01,2,,,4,2,2.25,11.3,7.05,36.19,9.3,2.9,0.8,,,,0.2,,,,,
25280,LakeVille Community School District,63.1,7.93,,2,,,1.4,0.11,4,4.84,9.25,10.69,0.6,7.4,0.4,10,,,,,1.1,,,0.5
25902,Woodland Park Academy,25,2,,,,,0.99,1,1.21,1,1,4.25,2,,,1.75,0.25,,,,,,,1.8
25903,Grand Blanc Academy,24.9,3.25,1,1,,,0.2,1,0.8,1,1.1,4.31,3,,,3,1.1,,,,,,,
25904,Northridge Academy,11.5,4.99,,,,,0.01,1.33,0.99,,1,2.8,1,,0.5,2.38,,,,,,,,
25905,International Academy of Flint,55.5,3,1,,,,0.5,,10,7,23,8.75,1,4,,2,3,5,,,0.5,,,
25907,Linden Charter Academy,34,11.06,,,,,3.8,,0.01,2.38,,5.53,4,,1,2.5,1.4,,,,,,,
25908,Academy of Flint,25,20.23,,,,,1,,2,4.75,2,11.58,3,,,1,1,1,,,,,,
25909,Burton Glen Charter Academy,32.87,11.88,,,1,,5,,0.01,2.38,,3.82,3,,,3.82,1.9,,,,,,,
25910,Richfield Public School Academy,41.6,1,,,,,1.8,1.1,1.2,3,7.75,10.88,3,1,1,,3,2,,,1,,,1
25911,Madison Academy,28.9,,1,,,,1.3,,3,3.25,,3.75,4,,1,,1,,,,,,,
25912,The New Standard Academy,20,,,,,,0.3,,1,2.5,1,2.5,2,,,,,,,,,,,
25913,Alternative Path Academy,3,,,,,,,,2,1,1,3,,,,,,,,,,,,
26010,Beaverton Rural Schools,57.63,6,,2,,,6.9,1,1.1,6.8,4.91,39.93,5.8,4.4,,7.6,,1,1.66,,,,,
26040,Gladwin Community Schools,81.92,26.1,,1,,,1,,11,11.63,12.64,43.79,0.4,11.6,,,1,,,,,,,3
27000,Gogebic-Ontonagon ISD,,,,,,,2,1,2,2,,0.99,3,1,8,10,5.3,,3.65,,2,,,
27010,Bessemer Area School District,23.4,3.5,,1,,,1,,,2,,9.18,2.85,,,,,,,,,,,
27020,Ironwood Area Schools of Gogebic County,47.76,7.03,,1.54,,,0.66,1.5,2.15,9.75,4.5,17.15,,5.16,,,,,,,0.25,,,0.15
27070,Wakefield-Marenisco School District,17.64,0.91,,1,,,1.65,,,2.08,,6.31,2,,,0.75,,0.13,,,0.13,,,
27080,Watersmeet Township School District,13.18,,,0.5,0.25,,2,,,2.07,4,3.11,1.17,0.83,,,,3,,,,,,
28000,Traverse Bay Area ISD,8.1,18,1.64,2.1,,,16.5,2,17.6,40.5,0.8,67.3,19,29,80.5,91,72.4,17,25.66,,1.5,,1,
28010,Traverse City Area Public Schools,433.67,66.04,14.75,12.4,4.6,,10,11.01,35.12,72.64,39.84,310.05,22.8,29.8,1,45,10,,2.66,,9.1,,,2.3
28035,Buckley Community Schools,24.77,2,,0.18,,,1,,1.01,3.07,0.57,9.21,1,1,,0.63,,,,,3,,,1
28090,Kingsley Area Schools,66.95,5.38,,2,,,1.95,,1.55,3,4.64,12.44,6.55,,,2.06,1,1,,,1.37,,,
28901,Woodland School,10.7,2.08,,,,0.4,1,,,1.8,0.4,2,0.84,,,,,,,,,,,
28902,Grand Traverse Academy,58.9,5,,1,,,2,,2,10.5,3,11.5,2,1,,,,,,,,,,
28903,Traverse City College Preparatory Academy,5,0.8,,,,,0.01,,0.99,1,,2.97,1,,,,,,,,,,,
28904,The Greenspire School,4,1,,,,,,,0.75,0.25,,0.25,,,0.25,,,,,,,,,
29000,Gratiot-Isabella RESD,,45.7,2,,,,6.9,4,0.1,19,21,18,22,,21,,20.1,3.8,,,,,,
29010,Alma Public Schools,103.25,30.31,1,2,1,2,2,,9.5,16,30.18,74.93,5,8,2,4.74,3,,2,,3,,,1.1
29020,Ashley Community Schools,17.58,5,,0.68,,1,3,,,3.63,1.12,10.25,2,,,,,,,,,,,
29040,Breckenridge Community Schools,40.46,9,,1,0.5,0.5,1.45,,2.9,6.05,5.3,27.6,3,,1,1,,,,,,,,
29050,Fulton Schools,44.5,2,,3,,,2.5,1,3,6.75,8.26,17.01,0.4,2,0.6,,,2.75,,,,,,0.75
29060,Ithaca Public Schools,65.65,19.61,1,3,,,1.6,2,4.15,5.88,3.9,36.24,1.45,7.5,0.5,4.87,1,,,,,,,
29100,St. Louis Public Schools,54.58,14,,2,,,1,,3,9,3,23.75,6,,,,1,3,,,,,,
30000,Hillsdale ISD,1.75,3,,,,,6,3,2,13.05,1.2,68.41,18,2,16.41,19,7.51,28,8.5,,2,,1,
30010,Camden-Frontier School,33.22,4.25,,0.83,,,0.6,0.43,0.6,2,2,11.67,4,,,,0.57,,,,,,,
30020,Hillsdale Community Schools,71.44,14.16,,1,,,3.9,0.5,4.15,10.11,3.54,27.97,6.85,3,,4.96,,3.04,,,,,,0.1
30030,Jonesville Community Schools,68.8,10.67,,1.8,,,5.01,1,3,6.88,8.41,33.49,2.6,1.8,,4.18,,,,,1,,,0.09
30040,Litchfield Community Schools,16.08,5.42,1,,,,0.8,,2.2,3.8,1.1,12.26,2,,,,,,,,,,,
30050,North Adams-Jerome Public Schools,18.99,,,0.4,,1,0.7,1,1.33,2,5.45,17.15,2.2,,,,,,,,,,,
30060,Pittsford Area Schools,30.09,2.14,0.58,0.21,,,2.48,,1.48,5.61,0.42,14.71,0.7,,,0.66,,,,,0.97,,,
30070,Reading Community Schools,41.51,11.83,0.75,1,,,2.56,,2.44,5.2,3.37,25.3,2,2,,1,,,,,2.7,,,
30080,Waldron Area Schools,16.11,2.5,,0.25,,1,2.25,,0.34,2.5,0.25,11.08,1.5,,1,2,,,0.51,,,,,
30901,Hillsdale Preparatory School,8,1.5,,,,,,,1,1.5,,0.5,,,,,,,,,,,,
30902,Will Carleton Charter School Academy,23,1,,,,0.38,0,,1,1.5,10.5,2,,,,,,,,,,,,0.5
31000,Copper Country ISD,,2.35,11.81,,,,3,2,1,5.75,1.75,14.36,7,7,8.26,16.8,6.83,2.44,2.33,,3.25,,,
31010,Hancock Public Schools,46.3,5.2,,0.8,,,0.89,,2.11,4,2.1,11.45,1.6,1.5,,2.5,,,,,,,,
31020,Adams Township School District,21.5,,,0.83,,,2.28,,0.3,3.2,2,8.2,2,,,,,,,,,,,
31030,Public Schools of Calumet,84.2,4.7,,2.6,,,2,1,6,8.3,3.87,36.4,6.2,,,5,2,,,,,,,
31050,Chassell Township School District,15.97,3.1,,,,,0.99,1,0.01,1,,6.92,0.5,,,1,,,,,0.34,,,
31070,Elm River Township School District,1.8,,,,,,,,0.25,,1,2,,,,,,,,,,,,1
31100,Dollar Bay-Tamarack City Area Schools,16.8,,,0.5,,0.8,1.8,,0.2,1.5,0.88,3.98,1,,,,,,,,,,,
31110,Houghton-Portage Township School District,64.2,8.5,,3,2,0.5,0.95,,3.05,8,1,5.75,2,,,,,,,,,,,1
31130,Lake Linden-Hubbell School District,29.04,1.08,,1,,1.25,1.4,0.75,0.83,2.85,1.82,10.97,3,,,1.32,,,,,,,,0.36
31140,Stanton Township Public Schools,8,1,,,,,1,,,2,0.25,2.75,,,,,,,,,,,,
32000,Huron ISD,2.34,8.7,1,,,,6.14,,2,14.12,2,3.2,3.73,4.54,11.77,28.6,13.57,1.59,10,,3,,,
32010,Bad Axe Public Schools,49.82,10.2,2,3,0.5,2,1,,4,7.3,1.2,19.75,0.52,6.11,,,,,,,1.5,,,
32030,Caseville Public Schools,14.1,0.76,0.25,,,,1.46,1,0.49,2.11,0.66,3.16,2.5,,,,,,,,,,,
32040,Church School District,1.17,2,,,,,0.02,,,,,0.37,,,0.17,,,,,,,,,
32050,Elkton-Pigeon-Bay Port Laker Schools,40.89,1.47,2,1.2,,,1,0.8,4,4.75,15.75,23.49,4.8,2.58,,0.42,,,,,0.96,,,
32060,Harbor Beach Community Schools,21,7.73,,,,,0.99,0.5,3.84,4,0.5,12.38,2,,,1,,,,,1,,,
32080,North Huron School District,22.84,4.18,,,,0.1,1.2,1,2.42,4.15,0.15,10.33,,3,,,,,,,2.5,,,1
32090,Owendale-Gagetown Area School District,12.02,1.1,,,,,0.51,0.5,1,1,2.82,4.01,1,1,,,,,,,0.07,,,
32130,Port Hope Community Schools,3.37,2.56,,,,,0.55,,0.45,1,,2.85,1,,,,,,,,,,,
32170,Ubly Community Schools,39.11,6.52,0.17,1,1,,4,0.5,2.33,2.83,0.27,15.61,1.43,,0.34,1,,,,,2,,,
32260,Colfax Township S/D #1F,1.17,2,,,,,0.02,,,,,0.17,,,0.17,,,,,,,,,
32610,Sigel Township S/D #3F,1.17,1,,,,,0.02,,,,0.17,0.2,,,0.17,,,,,,,,,
32620,Sigel Township S/D #4F,1.17,1,,,,,0.02,,,,,0.17,,,0.17,,,,,,,,,
32630,Sigel Township S/D #6,1.17,1,,,,,0.02,,,,,0.17,,,0.17,,,,,,,,,
32650,Verona Township S/D #1F,1.5,2,,,,,0.02,,,,,0.17,,,0.17,,,,,,,,,
33000,Ingham ISD,14.64,16,8.9,1,,1,17,4,2.02,44.37,7,163.9,22,12,33.5,58.5,41.71,12,21,,7.98,,,
33010,East Lansing School District,174.36,8.36,,4,1,1,2.75,0.85,12.7,18.74,17.2,60.83,16.4,2,7.39,26.08,6.25,,,,3.25,,,1
33020,Lansing Public School District,598.53,71.91,8.75,17.8,13.4,2.25,10,5,50.4,81.1,43.26,313.22,46.8,72.3,41.85,83.25,36.8,14.57,3,,6,,,6
33040,Dansville Schools,45.4,1,,1,,1.5,1,1,3,4.33,6.92,29.4,2.6,,,,,,,,0.5,,,
33060,Haslett Public Schools,124.88,8.34,2,4.5,1,,4,1.66,9.7,17.23,3.8,55.9,10.5,,8.8,41.96,,,1,,4,,,1
33070,Holt Public Schools,272.5,3.66,2,7,3.1,,4.25,5,18.52,37.49,24.62,157.72,20.44,,20.11,66.64,12,2.01,1,,7.01,,,1
33100,Leslie Public Schools,67.43,1.51,3,2.75,,1.14,3.31,1.5,3.7,8.66,,24.15,5.6,3.55,2,4.86,0,1,,,1.1,,,
33130,Mason Public Schools (Ingham),143.05,22.92,1,3.75,1.72,,5,3,11.26,23.07,4.64,94.89,8.4,7.5,4.93,28.31,7.33,,,,3,,,
33170,Okemos Public Schools,200.39,13.99,1.98,6,2,5.34,2,1,12.9,31.3,9.64,102.58,19.83,8,4.83,,8.98,12.97,,,3,,,1
33200,Stockbridge Community Schools,71.86,17.17,1,3,,,4.48,2,3.31,8.54,9.82,32.08,6.03,0.8,2,,1,0.74,,,2.39,,,0.92
33215,Waverly Community Schools,125.2,5,2,2.5,1,2,,3,15.9,18.5,11.4,101.06,16.5,11,,2,5.2,1,1.2,,1,,,1.5
33220,Webberville Community Schools,32.74,4.5,,1,,,1.75,,3.1,4.5,1,14.2,3,0.5,,7,1,,,,0.5,,,1
33230,Williamston Community Schools,98.72,18.55,0.5,3,0.2,1,1.96,1.69,5.61,11.55,1.12,37.23,6.5,,4.5,28,1,1,,,0.5,,,1
33901,Cole Academy,8,2.5,,,,,1,,,1,,1,1,,,5,,,,,,,,
33902,El-Hajj Malik El-Shabazz Academy,16,5,,,,,,2,2,1,2,12,,1,1,,,,,,,,,
33904,Mid-Michigan Leadership Academy,15.8,4.5,,1,,,4,,0,1,1.2,,,,,,,,,,,,,0.2
33906,White Pine Academy,9,0.5,,,,,0.25,,0.5,2,,1.5,0.8,,,,1,,,,,,,0.25
33909,Windemere Park Charter Academy,33.51,4.69,,1,,,4.01,,,2.41,,3.33,2,,,4.77,0.1,,,,,,,
33910,Lansing Charter Academy,29.5,6.13,,,1,,4,,0.01,2.38,,3.6,2,,,0.8,1.1,,,,,,,
33911,Michigan Connections Academy,27,5,,2,,,1,,2,2,,,,,,,,,,,,,,
33912,"Learn, Live, Lead Academy",,1,,,,,,,1,1,,,,,,,,,3,,,,,
33913,Nexus Academy of Lansing,4,,,1,,,1,,,1,,1,,,,,,,,,,,,
34000,Ionia ISD,7,10.8,5,,,,5.99,1,7.81,12,3,12,19,1,33.64,132.66,40.53,6,9,,3,,,
34010,Ionia Public Schools,132.2,43.92,0.7,5.4,,,2,1,13,25.4,3.02,79.61,1.45,22.45,,9,,2.5,,,6.5,,,0.5
34040,Palo Community School District,4.5,,,,,,,1,0.01,,2,3.5,,,,,,,,,,,,
34080,Belding Area School District,90.61,24.46,3,3,,,1.79,1,6.01,14,5.73,29.85,7.45,8.55,0.4,5.56,,,1.5,,1.83,,,
34090,Lakewood Public Schools,90.86,25.06,,3,,,2,1,6,13.94,2.38,53.89,5.21,9.44,,2.92,,,,,2.75,,,0.5
34110,Portland Public Schools,91.37,11.91,,3,,2.7,5,1,5.15,9.98,2.53,45.28,11.03,3.97,,,,,,,1,,,0.5
34120,Saranac Community Schools,50.27,3.45,0.1,1,,,1.5,1,2.3,6.34,1.41,27.17,1.6,5.3,,3.65,,,,,1.25,,,
34140,Berlin Township S/D #3,2,1,,,,,,,,,,,,,,,,,,,,,,
34340,Easton Township S/D #6,2,,,,,,,,,,1,,,,,,,,,,,,,
34360,Ionia Township S/D #2,0.99,1,,,,,,,,,,,,,,,,,,,,,,
35000,Iosco RESA,,6,,,,,4.9,,2,6.5,6.5,12.9,6,2.5,3.5,,1,9,6,,1,,,
35010,Oscoda Area Schools,61.25,4.55,,1.2,,,1.25,,3.95,7.94,4.44,41.98,7.3,0.4,2.4,,0.4,,,,5.2,,,
35020,Hale Area Schools,18.7,6.74,0.8,,,,3.1,1,0.3,2.02,3.1,15.09,2.75,0.25,,2.42,,,,,3,,,
35030,Tawas Area Schools,56.35,10.59,1,1,,,1.35,0.5,4.5,8.7,4.24,30.55,1.82,4.08,1,3.18,2,,0.83,,2.82,,,
35040,Whittemore-Prescott Area Schools,41.6,9,1,1,,2,1,1,2.8,6,3.7,18.89,7.2,,,5,0.2,,1.82,,0.39,,,
35902,Alternative Educational Academy of Iosco County,0.25,,,,,,,,0.5,,,1,,,,,,,,,,,,
36015,Forest Park School District,24.84,1.06,,1,,,0.5,1.77,1.5,1.88,0.3,13,3.4,,,,,0.45,,,,,,
36025,West Iron County Public Schools,42.79,7.54,0.66,1.82,,,2.5,0.76,4.27,5.22,9.15,15.81,7.64,0.07,0.8,,,,,,,,,0.98
37010,Mt. Pleasant City School District,172.55,16.9,3,8,1,4,3,4,12.5,21,15.6,36.42,23.67,7,5,42.75,2,1,9.94,,1.5,,,1
37040,Beal City Public Schools,32.03,2,,1,0.39,,2.01,1,3,3.25,1,18.78,3.33,,,7.75,,,,,3.5,,,
37060,Shepherd Public Schools,86.38,6.17,,3,1,,1.9,1,6.3,12.1,16.45,46.27,,11.06,,1.9,1,14.7,,,3,,,0.1
37901,Renaissance Public School Academy,23.85,2.8,1,1,0.25,,0.95,,0.05,2,2.3,2.38,2,,,,,,,,,,,
37902,Morey Public School Academy,7.5,5,,,,,0.2,,1,1,,2.5,1,,,,,,,,,,,
38000,Jackson ISD,7,21,11.54,3,,1,18.8,2.29,13,26.82,6.63,74.66,40,8,65.9,,45.9,84.54,32,,8,,,
38010,Western School District,126.17,18.05,1,4,,0.25,3.02,1.06,7,15.3,8.3,51.43,6.64,12.86,,24.44,3,,,,0.75,,,1
38020,Vandercook Lake Public Schools,58.74,12.69,0.5,,1,,4.24,,3.9,6.57,5.02,24.71,,10.03,,7.71,1,,0.33,,,,,0.57
38040,Columbia School District,65.05,15.5,,1,0.33,,2.62,1,3.4,8.05,4.33,37.33,3.67,5.34,,4,2,,,,0.48,,,
38050,Grass Lake Community Schools,59.61,1,1,1,1.8,,2,1,5.71,5.75,,48.53,6,,,5.85,1,,,,1,,,2.5
38080,Concord Community Schools,36.2,1.92,,1,,,2,1,2,3,6.93,17.97,3,2,,4.08,,,,,2.5,,,0.5
38090,East Jackson Community Schools,52.18,4,,2.17,,,4.4,1,2.6,5.5,8.44,27.55,9.83,,,0.56,,6,,,,,,
38100,Hanover-Horton School District,57.97,2.72,0.2,1.5,0.5,,2,1,3.7,7.07,4.89,24.75,1.4,4,,,,5,,,1,,,0.4
38120,Michigan Center School District,64.37,3.58,,1.17,1.67,,1,,6,8.04,11.5,29.71,5.66,4.84,,,1,6.92,,,,,,1
38130,Napoleon Community Schools,68.6,11.5,0.2,2,0.4,,2,,5.4,11.9,8.24,30.12,8,1,,4.6,,,,,,,,1.6
38140,Northwest Community Schools,123.5,3,,6,,,4,1.01,6,19.5,25.05,45.4,22,,,,,22,,,1,,,1
38150,Springport Public Schools,50.5,4.7,,2,,,3.4,0.8,2.6,7.3,7.2,28.38,6,1,,,,4,0.1,,,,,
38170,Jackson Public Schools,295.38,28.6,,7,,0.5,2.87,7.75,16.5,37.5,14.58,76.39,33,9,2,35,6.6,1.25,1.07,,5.33,,,0.65
38901,Da Vinci Institute,16.55,1.87,,,,,1.75,,1,3,,2,2,,,,,,,,,,,
38902,Paragon Charter Academy,34.3,4.66,,,1,,3.61,,,2.4,,4.15,2,,0.6,4.31,1.1,,,,,,,
39000,Kalamazoo RESA,7.42,,16.7,,,7.8,19,9.54,4,31.7,23.5,50.95,23.2,50.12,22.4,136,15.6,40.3,,,8.99,,,
39010,Kalamazoo Public Schools,646.84,39,9,16,6,11.8,5.95,8.8,42.8,85.9,213.59,255.42,,42.3,57.6,76,23.7,,8,,7,,,2
39020,Climax-Scotts Community Schools,32.93,1.94,1,1,,,1.5,1,3.05,3.75,4.26,19.07,1.98,,,0.5,1,0.91,,,,,,
39030,Comstock Public Schools,102.59,38.77,1,,,,5.25,0.1,4,17.83,7.15,69.87,5,12,3.39,18.86,3.41,0.89,2,,1.75,,,1
39050,Galesburg-Augusta Community Schools,56.12,10.68,,2,,,5,,3,8,7.98,26.34,3,2.83,1,8,1.5,1,0.4,,0.8,,,
39065,Gull Lake Community Schools,143.72,15.07,4.72,5,1.1,1,4,2,10,19.68,10.38,54.23,6,7.7,6,19.64,4,0.7,,,3,,,
39130,Parchment School District,83.63,9.24,1,1,1,,3,1,8.5,16.11,17.4,43.27,4,4,2,,4.25,5.75,3,,0.5,,,
39140,Portage Public Schools,396.23,41.37,8.7,12.8,7.69,,8,6.41,27.01,45.79,28.24,184.4,31,3,14.15,20.4,9,7.85,4.18,,0.99,,,
39160,Schoolcraft Community Schools,45.85,7.8,1,,,,2.05,,7,6.25,7.7,36.56,4,,1,5,1,,2.3,,,,,1
39170,Vicksburg Community Schools,122.19,14.74,4.66,5.17,2,,2,3,7.1,18.74,17.03,56.03,5.82,3.51,4.67,1.75,3.2,10.85,3.17,,,,,4
39903,Oakland Academy,24,0.4,0.2,,,,1.48,,,2.2,1.55,1.2,,,,,,,,,,,,
39905,Paramount Charter Academy,32,7.51,,,,,3.26,,,2.38,,3.82,3,,0.6,6.83,1.1,,,,,,,
39906,Youth Advancement Academy,2.75,,,,,,1,,,,,,,,,1,,,,,,,,
39907,Forest Academy,16,,0.5,,,,1.4,,,1.5,0.6,1.2,,,,,,,,,,,,
39908,Evergreen Academy,2,,0.1,,,,1.22,,,1.2,0.4,1.4,,,,,,,,,,,,
40020,Forest Area Community Schools,42.93,16.94,,,,,0.5,,3.5,4.93,1,8.63,3.5,,,,,,,,,,,0.1
40040,Kalkaska Public Schools,76.75,11.8,,4.8,1,,3,1,8,11.2,0.95,17.63,10.1,2,,,,6.95,,,0.3,,,
40060,Excelsior Township S/D #1,3.27,,,,,,0.1,,0.03,,,0.55,,,,,,0.45,,,,,,
41000,Kent ISD,28.35,49.7,12.85,2,,4.55,10,4.4,30.75,43.05,20.25,159.13,,1,154.72,,235.27,24.07,61.5,,9,,,
41010,Grand Rapids Public Schools,825.09,222.89,11,22.5,,,25.5,9.2,107.25,148.4,105.31,488.69,210.82,107.28,70.43,311.1,91.13,30.35,,,12,,,5
41020,Godwin Heights Public Schools,94.65,16.73,,1,,,2.2,,6,11,0.87,53.09,9,6,1.5,6.1,3.6,,0.93,,2.5,,,
41025,Northview Public Schools,154.46,13.6,4,5.6,,,4,1,12.3,22.58,1.9,76.11,27.8,1.8,1.9,20.15,8.2,19.1,0.8,,3,,,
41026,Wyoming Public Schools,199.57,16.8,4.75,3,2,,3.51,2,10,20.6,11.32,80.2,12.8,14.2,5.3,11.3,12.8,,,,3.94,,,2
41040,Byron Center Public Schools,155.37,15.82,2,4.9,,1,4,1,9,15.18,5.18,97.55,15,1,3.4,13.69,3.5,,1.6,,3.93,,,2.33
41050,Caledonia Community Schools,197.28,15.13,,6.2,1,3.64,7,0.2,8,31.07,16.01,67.75,25,,4.5,21.41,6.66,,,,1,,,
41070,Cedar Springs Public Schools,140.31,12,3.6,1.5,,2.25,2.9,3.25,12,27.2,4.95,84,10.05,14.95,7.3,21.8,3,2.4,,,3.1,,,
41080,Comstock Park Public Schools,104.5,7.55,,3,,,4,2,6,9.15,9,46.18,7.8,8,0.8,9.75,5.3,,,,5.1,,,1.5
41090,East Grand Rapids Public Schools,147.6,7.04,2,4,,,5,8.8,8.9,12.46,3.89,29.84,2.8,6.8,3.1,10.92,5.6,0.4,,,2,,,0.9
41110,Forest Hills Public Schools,490.25,81.36,15.8,21.75,3,15.39,6,5,29.28,82.15,25.98,198.66,30.9,24.5,10.2,48.97,16.51,,0.5,,4,,,1
41120,Godfrey-Lee Public Schools,98.2,16,3.25,3.8,,2,2.2,2,7.9,15.1,9.55,11.7,11.6,,3.7,,4.05,,,,0.5,,,0.8
41130,Grandville Public Schools,253.16,32.81,,6,1,1,6.26,,15.67,37.97,15.59,125.22,13.41,16.26,9.1,34.16,10.4,,,,1,,,
41140,Kelloggsville Public Schools,99.1,26.42,2,5.63,0.8,2,3.2,,8,20.31,9.35,52.24,3,8.89,2.45,1.2,2.6,1,,,2.8,,,1
41145,Kenowa Hills Public Schools,154.99,27.13,3.88,5,1.65,2.26,4.1,2,8.15,20.7,4.27,63.13,8.8,9.2,4.8,6.7,6.1,,,,2.9,,,1.5
41150,Kent City Community Schools,58.17,10.66,2.09,,,1.55,3,1,4.3,11.63,4.93,35.65,3,4.6,2,2.17,2,,,,2.1,,,1
41160,Kentwood Public Schools,388.85,198.12,6,13,1.99,13,5,2,21,70.13,53.72,219.96,23.4,39.8,11.4,44.47,18,2,2,,7,,,4
41170,Lowell Area Schools,172.86,12.23,3,5,1,4.38,2,4,12.18,17.71,8.3,68.73,7.8,11.15,4,,6.4,14.05,,,3.22,,,2.1
41210,Rockford Public Schools,372.71,61.39,9.3,11,3,,4,5.15,24.2,81.32,35.89,242.03,18.53,22.75,12.54,21.53,13.7,5.29,4.28,,6.5,,,1.2
41240,Sparta Area Schools,113.96,23.27,,4.95,,2.48,3,1,11.51,16.05,2.3,73.7,10.01,9.24,4.15,1.85,3.5,,,,1.99,,,2.2
41901,New Branches School,20.07,13.92,,0.4,,,1,1.8,1.75,2.6,,2.86,,1.7,0.38,1.5,0.16,,,,,,,
41904,West MI Academy of Environmental Science,42.85,7,,,,,0.2,,4,2,,7.4,3,,,,1,,,,,,,
41905,Excel Charter Academy,62.48,14.58,1,,,,3.52,,1,4.73,,4.64,5,,1.45,2.94,1.83,0.1,,,0.2,,,
41908,Byron Center Charter School,19.1,2.4,0.4,1,,,1,,0.1,2,,0.5,,,,2,,1,,,,,,
41909,Vista Charter Academy,39,10.47,,,1.13,,3.01,,,4.01,,6.31,2,,1,,1.3,,,,,,,
41910,Vanguard Charter Academy,34.96,11.08,,,,,2.01,,,2.38,,3.8,2,,1,0.88,1.5,1,,,,,,
41911,Grattan Academy,16.05,,,,,,0,,2,2.75,2.05,5.23,1.5,,,,0.2,,,,,,,
41914,Knapp Charter Academy,32,10.99,,,1,,2.01,,,2.63,,3.94,3.51,,0.9,2.82,1.6,0.81,,,,,,
41915,Walker Charter Academy,33.89,4.7,,,,,4.01,,,2.39,,3.74,3,,0.7,1.59,1.4,1,,,,,,
